nb_calls,reason,year,month,day,weekday,hour
54,PS,2010,1,10,Sunday,8
2,TT,2010,1,10,Sunday,8
3,IN,2010,1,10,Sunday,9
6,NE,2010,1,10,Sunday,9
8,NW,2010,1,10,Sunday,9
1,PE,2010,1,10,Sunday,9
90,PS,2010,1,10,Sunday,9
5,TT,2010,1,10,Sunday,9
1,IN,2010,1,10,Sunday,10
12,NE,2010,1,10,Sunday,10
8,NW,2010,1,10,Sunday,10
1,PE,2010,1,10,Sunday,10
128,PS,2010,1,10,Sunday,10
7,TT,2010,1,10,Sunday,10
1,IN,2010,1,10,Sunday,11
6,NE,2010,1,10,Sunday,11
11,NW,2010,1,10,Sunday,11
1,PE,2010,1,10,Sunday,11
99,PS,2010,1,10,Sunday,11
15,TT,2010,1,10,Sunday,11
2,IN,2010,1,10,Sunday,13
9,NE,2010,1,10,Sunday,13
23,NW,2010,1,10,Sunday,13
132,PS,2010,1,10,Sunday,13
6,TT,2010,1,10,Sunday,13
2,IN,2010,1,10,Sunday,14
7,NE,2010,1,10,Sunday,14
11,NW,2010,1,10,Sunday,14
2,PE,2010,1,10,Sunday,14
126,PS,2010,1,10,Sunday,14
8,TT,2010,1,10,Sunday,14
8,NE,2010,1,10,Sunday,15
38,NW,2010,1,10,Sunday,15
108,PS,2010,1,10,Sunday,15
9,TT,2010,1,10,Sunday,15
7,NE,2010,1,10,Sunday,16
188,NW,2010,1,10,Sunday,16
109,PS,2010,1,10,Sunday,16
6,TT,2010,1,10,Sunday,16
1,IN,2010,1,10,Sunday,17
1,NE,2010,1,10,Sunday,17
93,NW,2010,1,10,Sunday,17
71,PS,2010,1,10,Sunday,17
15,TT,2010,1,10,Sunday,17
5,NE,2010,1,10,Sunday,18
37,NW,2010,1,10,Sunday,18
72,PS,2010,1,10,Sunday,18
2,TT,2010,1,10,Sunday,18
17,NW,2010,1,10,Sunday,19
3,PE,2010,1,10,Sunday,19
51,PS,2010,1,10,Sunday,19
2,TT,2010,1,10,Sunday,19
10,NW,2010,1,10,Sunday,20
1,PE,2010,1,10,Sunday,20
51,PS,2010,1,10,Sunday,20
1,NE,2010,1,10,Sunday,21
3,NW,2010,1,10,Sunday,21
46,PS,2010,1,10,Sunday,21
12,NW,2010,1,10,Sunday,22
9,PS,2010,1,10,Sunday,22
1,TT,2010,1,10,Sunday,22
9,NW,2010,1,10,Sunday,23
14,PS,2010,1,10,Sunday,23
1,IN,2010,1,13,Wednesday,0
6,NE,2010,1,13,Wednesday,0
11,NW,2010,1,13,Wednesday,0
1,PE,2010,1,13,Wednesday,0
98,PS,2010,1,13,Wednesday,0
9,TT,2010,1,13,Wednesday,0
3,NW,2010,1,13,Wednesday,3
2,PS,2010,1,13,Wednesday,3
3,TT,2010,1,13,Wednesday,3
1,AA,2010,1,13,Wednesday,4
7,NW,2010,1,13,Wednesday,4
2,PS,2010,1,13,Wednesday,4
4,NW,2010,1,13,Wednesday,5
5,PS,2010,1,13,Wednesday,5
6,TT,2010,1,13,Wednesday,5
6,NW,2010,1,13,Wednesday,6
2,PE,2010,1,13,Wednesday,6
12,PS,2010,1,13,Wednesday,6
3,TT,2010,1,13,Wednesday,6
2,IN,2010,1,13,Wednesday,7
7,NW,2010,1,13,Wednesday,7
2,PE,2010,1,13,Wednesday,7
42,PS,2010,1,13,Wednesday,7
4,TT,2010,1,13,Wednesday,7
2,IN,2010,1,13,Wednesday,8
3,NE,2010,1,13,Wednesday,8
63,NW,2010,1,13,Wednesday,8
95,PS,2010,1,13,Wednesday,8
7,TT,2010,1,13,Wednesday,8
4,IN,2010,1,13,Wednesday,9
6,NE,2010,1,13,Wednesday,9
23,NW,2010,1,13,Wednesday,9
89,PS,2010,1,13,Wednesday,9
8,TT,2010,1,13,Wednesday,9
3,IN,2010,1,13,Wednesday,11
2,NE,2010,1,13,Wednesday,11
7,NW,2010,1,13,Wednesday,11
56,PS,2010,1,13,Wednesday,11
2,IN,2010,1,13,Wednesday,13
7,NE,2010,1,13,Wednesday,13
8,NW,2010,1,13,Wednesday,13
99,PS,2010,1,13,Wednesday,13
5,TT,2010,1,13,Wednesday,13
12,NE,2010,1,13,Wednesday,14
21,NW,2010,1,13,Wednesday,14
135,PS,2010,1,13,Wednesday,14
7,TT,2010,1,13,Wednesday,14
19,NE,2010,1,13,Wednesday,15
25,NW,2010,1,13,Wednesday,15
121,PS,2010,1,13,Wednesday,15
1,IN,2010,1,13,Wednesday,16
7,NE,2010,1,13,Wednesday,16
18,NW,2010,1,13,Wednesday,16
91,PS,2010,1,13,Wednesday,16
10,TT,2010,1,13,Wednesday,16
2,IN,2010,1,13,Wednesday,17
3,NE,2010,1,13,Wednesday,17
18,NW,2010,1,13,Wednesday,17
70,PS,2010,1,13,Wednesday,17
6,TT,2010,1,13,Wednesday,17
4,NE,2010,1,13,Wednesday,18
17,NW,2010,1,13,Wednesday,18
83,PS,2010,1,13,Wednesday,18
14,TT,2010,1,13,Wednesday,18
2,NE,2010,1,13,Wednesday,19
12,NW,2010,1,13,Wednesday,19
84,PS,2010,1,13,Wednesday,19
7,TT,2010,1,13,Wednesday,19
6,NW,2010,1,13,Wednesday,20
60,PS,2010,1,13,Wednesday,20
1,NE,2010,1,13,Wednesday,21
6,NW,2010,1,13,Wednesday,21
52,PS,2010,1,13,Wednesday,21
2,NE,2010,1,13,Wednesday,22
4,NW,2010,1,13,Wednesday,22
60,PS,2010,1,13,Wednesday,22
2,NW,2010,1,13,Wednesday,23
47,PS,2010,1,13,Wednesday,23
2,IN,2010,1,14,Thursday,0
9,NE,2010,1,14,Thursday,0
16,NW,2010,1,14,Thursday,0
2,PE,2010,1,14,Thursday,0
76,PS,2010,1,14,Thursday,0
9,TT,2010,1,14,Thursday,0
