year,month,day,hour,reason
2016,11,14,10,AA
2016,11,14,11,AA
2016,11,14,12,AA
2016,11,14,13,AA
2016,11,14,14,AA
2016,11,14,15,AA
2016,11,14,16,AA
2016,11,14,17,AA
2016,11,14,18,AA
2016,11,14,19,AA
2016,11,14,20,AA
2016,11,14,21,AA
2016,11,14,22,AA
2016,11,14,23,AA
2016,11,15,0,AA
2016,11,15,1,AA
2016,11,15,2,AA
2016,11,15,3,AA
2016,11,15,4,AA
2016,11,15,5,AA
2016,11,15,6,AA
2016,11,15,7,AA
2016,11,15,8,AA
2016,11,15,9,AA
2016,11,15,10,AA
2016,11,15,11,AA
2016,11,15,12,AA
2016,11,15,13,AA
2016,11,15,14,AA
2016,11,15,15,AA
2016,11,15,16,AA
2016,11,15,17,AA
2016,11,15,18,AA
2016,11,15,19,AA
2016,11,15,20,AA
2016,11,15,21,AA
2016,11,15,22,AA
2016,11,15,23,AA
2016,11,16,0,AA
2016,11,16,1,AA
2016,11,16,2,AA
2016,11,16,3,AA
2016,11,16,4,AA
2016,11,16,5,AA
2016,11,16,6,AA
